,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Weather
77,bima,8,id,1554567725,100,-8.45,118.73,73.97,2.51,Clear
78,sri aman,12,my,1554562800,94,1.24,111.46,78.26,2.51,Clouds
79,saint-philippe,0,re,1554567446,69,-21.36,55.77,75.07,19.46,Clear
80,lavrentiya,36,ru,1554567727,85,65.58,-170.99,4.58,4.74,Clouds
81,kodiak,1,us,1554567723,48,39.95,-94.76,65.82,13.87,Clear
82,labuhan,92,id,1554567729,97,-2.54,115.51,72.89,1.28,Rain
83,petropavlovsk-kamchatskiy,40,ru,1554562800,59,53.05,158.65,37.4,15.66,Clouds
84,punta arenas,40,cl,1554566555,65,-53.16,-70.91,46.24,41.38,Clouds
85,soloneshnoye,92,ru,1554567731,81,51.65,84.32,30.05,5.53,Clouds
86,srednekolymsk,0,ru,1554567732,88,67.46,153.71,8.09,2.73,Clear
87,marsh harbour,0,bs,1554567732,98,26.54,-77.06,76.94,7.65,Clear
88,narsaq,75,gl,1554565800,26,60.91,-46.05,44.6,12.75,Clouds
89,kalabo,64,zm,1554567734,27,-15.0,22.67,91.79,4.63,Clouds
90,thompson,20,ca,1554562800,34,55.74,-97.86,17.6,5.82,Clouds
91,hermanus,0,za,1554567365,69,-34.42,19.24,73.87,5.01,Clear
92,avarua,12,ck,1554564600,94,-21.21,-159.78,68.0,1.12,Clouds
93,arlit,8,ne,1554567737,24,18.74,7.39,99.62,8.66,Clear
94,chumikan,88,ru,1554567737,91,54.72,135.31,29.24,10.11,Clouds
95,skibbereen,75,ie,1554564600,81,51.55,-9.27,50.0,14.99,Clouds
96,viedma,0,ar,1554567739,35,-40.81,-62.99,73.25,10.22,Clear
97,cervo,92,es,1554567606,61,43.67,-7.41,47.88,1.99,Rain
98,moron,12,mn,1554567741,71,47.38,110.32,17.63,2.95,Clouds
99,lagos,75,pt,1554567429,63,37.1,-8.67,58.33,24.16,Rain
100,arraial do cabo,0,br,1554566400,74,-22.97,-42.02,88.3,13.87,Clear
101,nanortalik,44,gl,1554567743,93,60.14,-45.24,33.56,23.09,Clouds
102,chuy,32,uy,1554567744,85,-33.69,-53.46,70.82,9.78,Clouds
103,la ronge,90,ca,1554562800,63,55.1,-105.3,28.4,6.93,Clouds
104,waitati,0,nz,1554567328,64,-45.75,170.57,48.99,5.99,Clear
105,beira,40,mz,1554566400,88,-19.84,34.84,80.6,13.87,Clouds
